"","id","municipality","wave","year","firsttreat","sep_rate","log_totwaste","log_residual","population","left","young","old","tertiary","tourism"
"2055",889,"VIC",10,2020,0,59.755,6.12590802365747,5.21536240061976,47630,0.515559528465277,0.169260114446341,0.154176287521333,30.2,370
"2056",889,"VIC",11,2022,0,61.52,6.11772267857848,5.16277544996106,47545,0.515559528465277,0.169260114446341,0.154176287521333,30.2,370
"2057",891,"VIDRERES",4,2009,0,32.47,6.08161370444523,5.67725742210639,7430,0.561249241964827,0.172947510094213,0.144818304172275,23.8,59
"2058",891,"VIDRERES",5,2011,0,42.69,6.33249779505676,5.77639135287071,7661,0.561249241964827,0.172947510094213,0.144818304172275,23.8,59
"2059",891,"VIDRERES",6,2013,0,42.04,6.32062439900607,5.77521829557953,7748,0.561249241964827,0.172947510094213,0.144818304172275,23.8,59
"2060",891,"VIDRERES",7,2014,0,45.235,6.49731782924741,5.89681689948532,7702,0.561249241964827,0.172947510094213,0.144818304172275,23.8,59
"2061",891,"VIDRERES",8,2016,0,47.335,6.48128612216002,5.8380034700183,7632,0.561249241964827,0.172947510094213,0.144818304172275,23.8,59
"2062",891,"VIDRERES",9,2018,0,46.195,6.47704716629339,5.84403984841143,7740,0.561249241964827,0.172947510094213,0.144818304172275,23.8,59
"2063",891,"VIDRERES",10,2020,0,51.485,6.60055733811492,5.87713504057462,7951,0.561249241964827,0.172947510094213,0.144818304172275,23.8,59
"2064",891,"VIDRERES",11,2022,0,57.13,6.49943359474256,5.65293760789229,8167,0.561249241964827,0.172947510094213,0.144818304172275,23.8,59
"2065",893,"VILA-RODONA",4,2009,0,29.305,6.15368968345277,5.80707083443185,1260,0.601895734597156,0.15,0.185714285714286,29.1,27
"2066",893,"VILA-RODONA",5,2011,0,47.385,5.79136591021135,5.1839781507919,1279,0.601895734597156,0.15,0.185714285714286,29.1,27
"2067",893,"VILA-RODONA",6,2013,0,70.53,5.72342168990855,4.50148242680606,1261,0.601895734597156,0.15,0.185714285714286,29.1,27
"2068",893,"VILA-RODONA",7,2014,0,59.985,5.74881957313092,4.8278515456703,1264,0.601895734597156,0.15,0.185714285714286,29.1,27
"2069",893,"VILA-RODONA",8,2016,0,53.56,5.90740335948155,5.1398237169287,1255,0.601895734597156,0.15,0.185714285714286,29.1,27
"2070",893,"VILA-RODONA",9,2018,0,65.41,5.80552353897726,4.74390063936718,1253,0.601895734597156,0.15,0.185714285714286,29.1,27
"2071",893,"VILA-RODONA",10,2020,0,60.275,5.94850485266785,5.02553637292763,1276,0.601895734597156,0.15,0.185714285714286,29.1,27
"2072",893,"VILA-RODONA",11,2022,0,58.15,5.86818047093501,4.99441676650951,1341,0.601895734597156,0.15,0.185714285714286,29.1,27
